icao,name,country,type,lat,lon,elev_m,runway,heading_deg,length_m,width_m,surface
EPKB,KAZIMIERZ BISKUPI,PL,airfield_civil,52.31917000,18.16694000,110,09,90,900,200,grass
EPKB,KAZIMIERZ BISKUPI,PL,airfield_civil,52.31917000,18.16694000,110,27,270,900,200,grass
EPKB,KAZIMIERZ BISKUPI,PL,airfield_civil,52.31917000,18.16694000,110,09,90,629,26,asphalt
EPKB,KAZIMIERZ BISKUPI,PL,airfield_civil,52.31917000,18.16694000,110,27,270,629,26,asphalt
,KĘPNO,PL,airfield_civil,51.32194000,17.97222000,189,13,132,536,25,grass
,KĘPNO,PL,airfield_civil,51.32194000,17.97222000,189,31,312,536,25,grass
EPKE,KĘTRZYN,PL,airfield_civil,54.04722000,21.42611000,137,15,150,1105,50,grass
EPKE,KĘTRZYN,PL,airfield_civil,54.04722000,21.42611000,137,33,330,1105,50,grass
EPKE,KĘTRZYN,PL,airfield_civil,54.04722000,21.42611000,137,07,65,500,50,grass
EPKE,KĘTRZYN,PL,airfield_civil,54.04722000,21.42611000,137,25,245,500,50,grass
,KOŁBIEL-SKORUPY,PL,airfield_civil,52.05528000,21.42861000,126,18,175,508,15,grass
,KOŁBIEL-SKORUPY,PL,airfield_civil,52.05528000,21.42861000,126,36,355,508,15,grass
EPKI,KIKITY,PL,airfield_civil,53.98306000,20.87722000,172,11,107,800,35,grass
EPKI,KIKITY,PL,airfield_civil,53.98306000,20.87722000,172,29,287,800,35,grass
,KONOPKI,PL,airfield_civil,52.98861000,20.50778000,122,15,145,818,35,grass
,KONOPKI,PL,airfield_civil,52.98861000,20.50778000,122,33,325,818,35,grass
,KLESZCZEWO,PL,airfield_civil,54.20972000,18.52500000,127,04,40,240,30,grass
,KLESZCZEWO,PL,airfield_civil,54.20972000,18.52500000,127,22,220,240,30,grass
EPKD,KOŃSKIE-KOMASZYCE,PL,airfield_civil,51.25528000,20.47111000,258,09,88,600,30,grass
EPKD,KOŃSKIE-KOMASZYCE,PL,airfield_civil,51.25528000,20.47111000,258,27,268,600,30,grass
EPKO,KORNE,PL,airfield_civil,54.12972000,17.84528000,163,10,102,400,30,grass
EPKO,KORNE,PL,airfield_civil,54.12972000,17.84528000,163,28,282,400,30,grass
EPKO,KORNE,PL,airfield_civil,54.12972000,17.84528000,163,06,63,550,50,grass
EPKO,KORNE,PL,airfield_civil,54.12972000,17.84528000,163,24,243,550,50,grass
,KONSTANCIN-JEZIORNA,PL,airfield_civil,52.07611000,21.18778000,79,12,120,770,40,grass
,KONSTANCIN-JEZIORNA,PL,airfield_civil,52.07611000,21.18778000,79,30,300,770,40,grass
,KOŚLINKA,PL,ultralight,53.96306000,19.08167000,38,03,31,280,50,grass
,KOŚLINKA,PL,ultralight,53.96306000,19.08167000,38,20,211,280,50,grass
,KOSZALIN / ZEGRZE POMORSKIE,PL,closed,54.04222000,16.26361000,69,07L,65,900,60,grass
,KOSZALIN / ZEGRZE POMORSKIE,PL,closed,54.04222000,16.26361000,69,25R,245,900,60,grass
,KOSZALIN / ZEGRZE POMORSKIE,PL,closed,54.04222000,16.26361000,69,07R,65,2500,60,concrete
,KOSZALIN / ZEGRZE POMORSKIE,PL,closed,54.04222000,16.26361000,69,25L,245,2500,60,concrete
EPKK,KRAKÓW/BALICE,PL,international,50.07778000,19.78472000,241,07,78,2550,60,concrete
EPKK,KRAKÓW/BALICE,PL,international,50.07778000,19.78472000,241,25,258,2550,60,concrete
EPKL,KRASOCIN,PL,airfield_civil,50.89944000,20.12667000,250,13,130,1075,35,grass
EPKL,KRASOCIN,PL,airfield_civil,50.89944000,20.12667000,250,31,310,1075,35,grass
EPKC,KRAKÓW-CZYŻYNY,PL,airfield_civil,50.08421000,19.99083000,218,10,104,735,30,concrete
EPKC,KRAKÓW-CZYŻYNY,PL,airfield_civil,50.08421000,19.99083000,218,28,284,735,30,concrete
,KRĄPLEWICE,PL,airfield_civil,53.51278000,18.42500000,85,10,95,355,15,grass
,KRĄPLEWICE,PL,airfield_civil,53.51278000,18.42500000,85,28,275,355,15,grass
,KREPSKO,PL,airfield_civil,53.25056000,16.75194000,70,14,140,850,70,grass
,KREPSKO,PL,airfield_civil,53.25056000,16.75194000,70,32,320,850,70,grass
EPSK,KRĘPA K/SLUPSKA,PL,airfield_civil,54.40944000,17.09417000,77,10,101,1250,50,grass
EPSK,KRĘPA K/SLUPSKA,PL,airfield_civil,54.40944000,17.09417000,77,28,281,1250,50,grass
EPSK,KRĘPA K/SLUPSKA,PL,airfield_civil,54.40944000,17.09417000,77,02,18,600,50,grass
EPSK,KRĘPA K/SLUPSKA,PL,airfield_civil,54.40944000,17.09417000,77,20,198,600,50,grass
EPKR,KROSNO,PL,airfield_civil,49.68111000,21.73667000,280,11R,107,1100,30,concrete
EPKR,KROSNO,PL,airfield_civil,49.68111000,21.73667000,280,29L,287,1100,30,concrete
EPKR,KROSNO,PL,airfield_civil,49.68111000,21.73667000,280,11L,107,1035,100,grass
